# NATIVE-timeline level-1 bot v3: continues grind, long horizon
300,y,1
310,y,0
320,y,1
330,y,0
340,y,1
350,y,0
360,y,1
370,y,0
380,y,1
390,y,0
400,y,1
410,y,0
420,y,1
430,y,0
440,y,1
450,y,0
500,start,1
510,start,0
600,right,1
650,a,1
656,a,0
705,a,1
711,a,0
760,a,1
766,a,0
815,a,1
821,a,0
870,a,1
876,a,0
900,start,1
908,start,0
925,a,1
931,a,0
980,a,1
986,a,0
1035,a,1
1041,a,0
1090,a,1
1096,a,0
1145,a,1
1151,a,0
1200,a,1
1200,start,1
1206,a,0
1208,start,0
1255,a,1
1261,a,0
1310,a,1
1316,a,0
1365,a,1
1371,a,0
1420,a,1
1426,a,0
1475,a,1
1481,a,0
1500,start,1
1508,start,0
1530,a,1
1536,a,0
1585,a,1
1591,a,0
1640,a,1
1646,a,0
1695,a,1
1701,a,0
1750,a,1
1756,a,0
1800,start,1
1805,a,1
1808,start,0
1811,a,0
1860,a,1
1866,a,0
1915,a,1
1921,a,0
1970,a,1
1976,a,0
2025,a,1
2031,a,0
2080,a,1
2086,a,0
2100,start,1
2108,start,0
2135,a,1
2141,a,0
2190,a,1
2196,a,0
2245,a,1
2251,a,0
2300,a,1
2306,a,0
2355,a,1
2361,a,0
2400,start,1
2408,start,0
2410,a,1
2416,a,0
2465,a,1
2471,a,0
2520,a,1
2526,a,0
2575,a,1
2581,a,0
2630,a,1
2636,a,0
2685,a,1
2691,a,0
2700,start,1
2708,start,0
2740,a,1
2746,a,0
2795,a,1
2801,a,0
2850,a,1
2856,a,0
2905,a,1
2911,a,0
2960,a,1
2966,a,0
3000,start,1
3008,start,0
3015,a,1
3021,a,0
3070,a,1
3076,a,0
3125,a,1
3131,a,0
3180,a,1
3186,a,0
3235,a,1
3241,a,0
3290,a,1
3296,a,0
3300,start,1
3308,start,0
3345,a,1
3351,a,0
3400,a,1
3406,a,0
3455,a,1
3461,a,0
3510,a,1
3516,a,0
3565,a,1
3571,a,0
3600,start,1
3608,start,0
3620,a,1
3626,a,0
3675,a,1
3681,a,0
3730,a,1
3736,a,0
3785,a,1
3791,a,0
3840,a,1
3846,a,0
3895,a,1
3900,start,1
3901,a,0
3908,start,0
3950,a,1
3956,a,0
4005,a,1
4011,a,0
4060,a,1
4066,a,0
4115,a,1
4121,a,0
4170,a,1
4176,a,0
4200,start,1
4208,start,0
4225,a,1
4231,a,0
4280,a,1
4286,a,0
4335,a,1
4341,a,0
4390,a,1
4396,a,0
4445,a,1
4451,a,0
4500,a,1
4500,start,1
4506,a,0
4508,start,0
4555,a,1
4561,a,0
4610,a,1
4616,a,0
4665,a,1
4671,a,0
4720,a,1
4726,a,0
4775,a,1
4781,a,0
4800,start,1
4808,start,0
4830,a,1
4836,a,0
4885,a,1
4891,a,0
4940,a,1
4946,a,0
4995,a,1
5001,a,0
5050,a,1
5056,a,0
5100,start,1
5105,a,1
5108,start,0
5111,a,0
5160,a,1
5166,a,0
5215,a,1
5221,a,0
5270,a,1
5276,a,0
5325,a,1
5331,a,0
5380,a,1
5386,a,0
5400,start,1
5408,start,0
5435,a,1
5441,a,0
5490,a,1
5496,a,0
5545,a,1
5551,a,0
5600,a,1
5606,a,0
5655,a,1
5661,a,0
5700,start,1
5708,start,0
5710,a,1
5716,a,0
5765,a,1
5771,a,0
5820,a,1
5826,a,0
5875,a,1
5881,a,0
5930,a,1
5936,a,0
5985,a,1
5991,a,0
6000,start,1
6008,start,0
6040,a,1
6046,a,0
6095,a,1
6101,a,0
6150,a,1
6156,a,0
6205,a,1
6211,a,0
6260,a,1
6266,a,0
6300,start,1
6308,start,0
6315,a,1
6321,a,0
6370,a,1
6376,a,0
6425,a,1
6431,a,0
6480,a,1
6486,a,0
6535,a,1
6541,a,0
6590,a,1
6596,a,0
6600,start,1
6608,start,0
6645,a,1
6651,a,0
6700,a,1
6706,a,0
6755,a,1
6761,a,0
6810,a,1
6816,a,0
6865,a,1
6871,a,0
6900,start,1
6908,start,0
6920,a,1
6926,a,0
6975,a,1
6981,a,0
7030,a,1
7036,a,0
7085,a,1
7091,a,0
7140,a,1
7146,a,0
7195,a,1
7200,start,1
7201,a,0
7208,start,0
7250,a,1
7256,a,0
7305,a,1
7311,a,0
7360,a,1
7366,a,0
7415,a,1
7421,a,0
7470,a,1
7476,a,0
7500,start,1
7508,start,0
7525,a,1
7531,a,0
7580,a,1
7586,a,0
7635,a,1
7641,a,0
7690,a,1
7696,a,0
7745,a,1
7751,a,0
7800,a,1
7800,start,1
7806,a,0
7808,start,0
7855,a,1
7861,a,0
7910,a,1
7916,a,0
7965,a,1
7971,a,0
8020,a,1
8026,a,0
8075,a,1
8081,a,0
8100,start,1
8108,start,0
8130,a,1
8136,a,0
8185,a,1
8191,a,0
8240,a,1
8246,a,0
8295,a,1
8301,a,0
8350,a,1
8356,a,0
8400,start,1
8405,a,1
8408,start,0
8411,a,0
8460,a,1
8466,a,0
8515,a,1
8521,a,0
8570,a,1
8576,a,0
8625,a,1
8631,a,0
8680,a,1
8686,a,0
8700,start,1
8708,start,0
8735,a,1
8741,a,0
8790,a,1
8796,a,0
8845,a,1
8851,a,0
8900,a,1
8906,a,0
8955,a,1
8961,a,0
9000,start,1
9008,start,0
9010,a,1
9016,a,0
9065,a,1
9071,a,0
9120,a,1
9126,a,0
9175,a,1
9181,a,0
9230,a,1
9236,a,0
9285,a,1
9291,a,0
9300,start,1
9308,start,0
9340,a,1
9346,a,0
9395,a,1
9401,a,0
9450,a,1
9456,a,0
9505,a,1
9511,a,0
9560,a,1
9566,a,0
9600,start,1
9608,start,0
9615,a,1
9621,a,0
9670,a,1
9676,a,0
9725,a,1
9731,a,0
9780,a,1
9786,a,0
9835,a,1
9841,a,0
9890,a,1
9896,a,0
9900,start,1
9908,start,0
9945,a,1
9951,a,0
10000,a,1
10006,a,0
10055,a,1
10061,a,0
10110,a,1
10116,a,0
10165,a,1
10171,a,0
10200,start,1
10208,start,0
10220,a,1
10226,a,0
10275,a,1
10281,a,0
10330,a,1
10336,a,0
10385,a,1
10391,a,0
10440,a,1
10446,a,0
10495,a,1
10500,start,1
10501,a,0
10508,start,0
10550,a,1
10556,a,0
10605,a,1
10611,a,0
10660,a,1
10666,a,0
10715,a,1
10721,a,0
10770,a,1
10776,a,0
10800,start,1
10808,start,0
10825,a,1
10831,a,0
10880,a,1
10886,a,0
10935,a,1
10941,a,0
10990,a,1
10996,a,0
11045,a,1
11051,a,0
11100,a,1
11100,start,1
11106,a,0
11108,start,0
11155,a,1
11161,a,0
11210,a,1
11216,a,0
11265,a,1
11271,a,0
11320,a,1
11326,a,0
11375,a,1
11381,a,0
11400,start,1
11408,start,0
11430,a,1
11436,a,0
11485,a,1
11491,a,0
11540,a,1
11546,a,0
11595,a,1
11601,a,0
11650,a,1
11656,a,0
11700,start,1
11705,a,1
11708,start,0
11711,a,0
11760,a,1
11766,a,0
11815,a,1
11821,a,0
11870,a,1
11876,a,0
11925,a,1
11931,a,0
11980,a,1
11986,a,0
12000,start,1
12008,start,0
12035,a,1
12041,a,0
12090,a,1
12096,a,0
12145,a,1
12151,a,0
12200,a,1
12206,a,0
12255,a,1
12261,a,0
12300,start,1
12308,start,0
12310,a,1
12316,a,0
12365,a,1
12371,a,0
12420,a,1
12426,a,0
12475,a,1
12481,a,0
12530,a,1
12536,a,0
12585,a,1
12591,a,0
12600,start,1
12608,start,0
12640,a,1
12646,a,0
12695,a,1
12701,a,0
12750,a,1
12756,a,0
12805,a,1
12811,a,0
12860,a,1
12866,a,0
12900,start,1
12908,start,0
12915,a,1
12921,a,0
12970,a,1
12976,a,0
13025,a,1
13031,a,0
13080,a,1
13086,a,0
13135,a,1
13141,a,0
13190,a,1
13196,a,0
13200,start,1
13208,start,0
13245,a,1
13251,a,0
13300,a,1
13306,a,0
13355,a,1
13361,a,0
13410,a,1
13416,a,0
13465,a,1
13471,a,0
13500,start,1
13508,start,0
13520,a,1
13526,a,0
13575,a,1
13581,a,0
13630,a,1
13636,a,0
13685,a,1
13691,a,0
13740,a,1
13746,a,0
13795,a,1
13800,start,1
13801,a,0
13808,start,0
13850,a,1
13856,a,0
13905,a,1
13911,a,0
13960,a,1
13966,a,0
14015,a,1
14021,a,0
14070,a,1
14076,a,0
14100,start,1
14108,start,0
14125,a,1
14131,a,0
14180,a,1
14186,a,0
14235,a,1
14241,a,0
14290,a,1
14296,a,0
14345,a,1
14351,a,0
14400,a,1
14400,start,1
14406,a,0
14408,start,0
14455,a,1
14461,a,0
14510,a,1
14516,a,0
14565,a,1
