key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
3_0CD7_01FA_009,3,0x0CD7,-6,1,9,9,48,113,0,1,1,1960,0x3229,0x0193,0x01FA,0x0CD7,0xF385,0x79CE,0x0000,0x0C8B
3_0DE9_01F6_00E,3,0x0DE9,-10,1,14,14,123,268,0,1,1,1794,0x9789,0x0154,0x01F6,0x0DE9,0xF385,0x13DE,0x0000,0x0CD6
3_0DE9_01F6_013,3,0x0DE9,-10,1,19,19,172,371,0,1,1,1962,0x3724,0x017D,0x01F6,0x0DE9,0xF385,0x29CE,0x0000,0x0CD6
3_288C_0116_02C,3,0x288C,22,1,44,44,689,1430,1,0,1,1790,0x2C00,0x0064,0x0116,0x288C,0xF38D,0x0000,0x0000,0x2C4F
3_28A2_0116_02B,3,0x28A2,22,1,43,43,667,1385,1,0,1,1791,0x2B00,0x0068,0x0116,0x28A2,0xF38E,0x0000,0x0000,0x2C4F
3_28B8_0116_02A,3,0x28B8,22,1,42,42,646,1342,1,0,1,1792,0x2A00,0x006B,0x0116,0x28B8,0xF38D,0x0000,0x0000,0x2C4F
3_2D74_0118_01C,3,0x2D74,24,1,28,28,646,1328,1,0,1,1799,0x1C00,0x007E,0x0118,0x2D74,0xF38E,0x0000,0x0000,0x3000
3_2D8C_0118_01B,3,0x2D8C,24,1,27,27,622,1279,1,0,1,1798,0x1B00,0x007A,0x0118,0x2D8C,0xF38D,0x0000,0x0000,0x3000
3_3040_0116_033,3,0x3040,22,1,51,51,1048,2155,1,0,1,1803,0x3300,0x0095,0x0116,0x3040,0xF38E,0x0000,0x0000,0x3490
3_306C_0116_031,3,0x306C,22,1,49,49,1011,2079,1,0,1,1802,0x3100,0x0091,0x0116,0x306C,0xF38D,0x0000,0x0000,0x3490
3_3098_0116_02F,3,0x3098,22,1,47,47,972,1999,1,0,1,1801,0x2F00,0x008D,0x0116,0x3098,0xF38D,0x0000,0x0000,0x3490
3_30C4_0116_02D,3,0x30C4,22,1,45,45,931,1915,1,0,1,1800,0x2D00,0x0089,0x0116,0x30C4,0xF38D,0x0000,0x0000,0x3490
3_7796_0108_00A,3,0x7796,8,1,10,10,61,140,1,0,1,615,0x0A00,0x00DC,0x0108,0x7796,0xF387,0x0000,0x0000,0x77E0
3_77AE_0108_007,3,0x77AE,8,1,7,7,43,101,1,0,1,614,0x0700,0x00DB,0x0108,0x77AE,0xF387,0x0000,0x0000,0x77E0
3_77BE_0108_005,3,0x77BE,8,1,5,5,31,75,1,0,1,613,0x0500,0x00DB,0x0108,0x77BE,0xF387,0x0000,0x0000,0x77E0
3_77CE_0108_003,3,0x77CE,8,1,3,3,19,49,1,0,1,612,0x0300,0x00DA,0x0108,0x77CE,0xF387,0x0000,0x0000,0x77E0
3_77DE_0108_001,3,0x77DE,8,1,1,1,7,23,1,0,1,611,0x0100,0x00DA,0x0108,0x77DE,0xF387,0x0000,0x0000,0x77E0
3_7896_0108_027,3,0x7896,8,1,39,39,275,597,1,0,1,621,0x2700,0x00DF,0x0108,0x7896,0xF387,0x0000,0x0000,0x79C8
3_78C6_0108_021,3,0x78C6,8,1,33,33,227,495,1,0,1,620,0x2100,0x00DE,0x0108,0x78C6,0xF387,0x0000,0x0000,0x79C8
3_78F6_0108_01B,3,0x78F6,8,1,27,27,179,393,1,0,1,619,0x1B00,0x00DE,0x0108,0x78F6,0xF387,0x0000,0x0000,0x79C8
3_791E_0108_016,3,0x791E,8,1,22,22,139,308,1,0,1,618,0x1600,0x00DD,0x0108,0x791E,0xF387,0x0000,0x0000,0x79C8
3_793E_0108_012,3,0x793E,8,1,18,18,110,246,1,0,1,617,0x1200,0x00DD,0x0108,0x793E,0xF387,0x0000,0x0000,0x79C8
3_795E_0108_00E,3,0x795E,8,1,14,14,85,192,1,0,1,616,0x0E00,0x00DC,0x0108,0x795E,0xF387,0x0000,0x0000,0x79C8
3_79D6_0108_03C,3,0x79D6,8,1,60,60,443,954,1,0,1,624,0x3C00,0x00E0,0x0108,0x79D6,0xF387,0x0000,0x0000,0x7BAF
3_7A16_0108_034,3,0x7A16,8,1,52,52,398,856,1,0,1,623,0x3400,0x00E0,0x0108,0x7A16,0xF387,0x0000,0x0000,0x7BAF
3_7A4E_0108_02D,3,0x7A4E,8,1,45,45,349,751,1,0,1,622,0x2D00,0x00DF,0x0108,0x7A4E,0xF387,0x0000,0x0000,0x7BAF
3_7E7C_0105_007,3,0x7E7C,5,1,7,7,31,77,1,0,1,621,0x0700,0x00E1,0x0105,0x7E7C,0xF388,0x0000,0x0000,0x7E9C
3_7E9A_0105_001,3,0x7E9A,5,1,1,1,4,17,1,0,1,620,0x0100,0x00E0,0x0105,0x7E9A,0xF388,0x0000,0x0000,0x7E9C
3_7EA4_0105_010,3,0x7EA4,5,1,16,16,74,172,1,0,1,622,0x1000,0x00E2,0x0105,0x7EA4,0xF388,0x0000,0x0000,0x7EF1
4_01FD_0006_011,4,0x01FD,6,0,17,17,63,151,1,0,1,3278,0xE0CF,0x018F,0x0006,0x01FD,0xF48D,0x0000,0x0000,0x0267
4_01FD_0006_014,4,0x01FD,6,0,20,20,78,184,1,0,1,3277,0xE0CC,0x018F,0x0006,0x01FD,0xF48D,0x0000,0x0000,0x0279
4_0202_0106_017,4,0x0202,6,1,23,23,126,283,1,0,1,3102,0xE0C9,0x01D0,0x0106,0x0202,0xF48D,0x0000,0x0000,0x0289
4_0202_0106_01A,4,0x0202,6,1,26,26,138,310,1,0,1,3101,0xE0C6,0x01D0,0x0106,0x0202,0xF48D,0x0000,0x0000,0x029B
4_0202_0106_023,4,0x0202,6,1,35,35,174,391,1,0,1,3272,0xE0BD,0x019C,0x0106,0x0202,0xF48D,0x0000,0x0000,0x02D1
4_0202_0106_026,4,0x0202,6,1,38,38,185,416,1,0,1,3271,0xE0BA,0x019C,0x0106,0x0202,0xF48D,0x0000,0x0000,0x02E4
4_02F5_0004_019,4,0x02F5,4,0,25,25,92,217,1,0,1,3276,0xE0C7,0x0197,0x0004,0x02F5,0xF48D,0x0000,0x0000,0x035C
4_02F5_0004_01C,4,0x02F5,4,0,28,28,104,244,1,0,1,3275,0xE0C4,0x0197,0x0004,0x02F5,0xF48D,0x0000,0x0000,0x0368
4_02F5_0004_025,4,0x02F5,4,0,37,37,140,325,1,0,1,3098,0xE0BB,0x01CC,0x0004,0x02F5,0xF48D,0x0000,0x0000,0x038C
4_02F5_0004_028,4,0x02F5,4,0,40,40,152,352,1,0,1,3097,0xE0B8,0x01CC,0x0004,0x02F5,0xF48D,0x0000,0x0000,0x0398
4_02F8_0104_013,4,0x02F8,4,1,19,19,76,179,1,0,1,3104,0xE0CD,0x01CF,0x0104,0x02F8,0xF48D,0x0000,0x0000,0x0341
4_02F8_0104_016,4,0x02F8,4,1,22,22,88,206,1,0,1,3103,0xE0CA,0x01D0,0x0104,0x02F8,0xF48D,0x0000,0x0000,0x034D
4_094B_000E_003,4,0x094B,14,0,3,3,27,65,1,0,1,3146,0xE0DD,0x01FA,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x097D
4_094B_000E_009,4,0x094B,14,0,9,9,87,191,1,0,1,3321,0xE0D7,0x01C2,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x09D2
4_094B_000E_00D,4,0x094B,14,0,13,13,127,275,1,0,1,3145,0xE0D3,0x01F7,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0A0A
4_094B_000E_013,4,0x094B,14,0,19,19,187,401,1,0,1,3320,0xE0CD,0x01BF,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0A5E
4_094B_000E_017,4,0x094B,14,0,23,23,229,489,1,0,1,3144,0xE0C9,0x01F5,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0A97
4_094B_000E_01D,4,0x094B,14,0,29,29,295,627,1,0,1,3319,0xE0C3,0x01BD,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0AEB
4_094B_000E_021,4,0x094B,14,0,33,33,343,727,1,0,1,3143,0xE0BF,0x01F2,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0B24
4_094B_000E_027,4,0x094B,14,0,39,39,419,885,1,0,1,3318,0xE0B9,0x01BA,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0B79
4_094B_000E_02A,4,0x094B,14,0,42,42,461,972,1,0,1,3142,0xE0B6,0x01F0,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0BA4
4_094B_000E_030,4,0x094B,14,0,48,48,533,1122,1,0,1,3317,0xE0B0,0x01B8,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0BF6
4_094B_000E_033,4,0x094B,14,0,51,51,569,1197,1,0,1,3141,0xE0AD,0x01ED,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0C1F
4_094B_000E_039,4,0x094B,14,0,57,57,633,1331,1,0,1,3316,0xE0A7,0x01B6,0x000E,0x094B,0xF4CD,0x0000,0x0000,0x0C72
4_0C9B_0006_002,4,0x0C9B,6,0,2,2,8,26,1,0,1,3129,0xE0DE,0x01C5,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0CAA
4_0C9B_0006_008,4,0x0C9B,6,0,8,8,36,88,1,0,1,3304,0xE0D8,0x018E,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0CCF
