key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
0_3796_FFFF_010_z000,0,0x3796,18,0,10,10,0,0,1,0,1,0,0xB8AE,0x00CE,0x0012,0x3796,0xF083,0x0000,0x0000,0x0000
2_FCAD_FFFF_048_z000,2,0xFCAD,17,0,48,48,0,0,1,0,1,0,0xC090,0x0197,0x0011,0xFCAD,0xF2A3,0x0000,0x0000,0x0000
2_FDBD_FFFF_016_z000,2,0xFDBD,17,0,16,16,0,0,1,0,1,0,0x1000,0x0197,0x0011,0xFDBD,0xF2A3,0x0000,0x0000,0x0000
2_F8E6_FFFF_024_z000,2,0xF8E6,13,0,24,24,0,0,1,0,1,0,0xE0C8,0x019F,0x000D,0xF8E6,0xF2A4,0x0000,0x0000,0x0000
2_E169_FFFF_144_z000,2,0xE169,16,0,144,144,0,0,1,0,1,0,0xB828,0x01B9,0x0010,0xE169,0xF286,0x0000,0x0000,0x0000
3_01D0_FFFF_042_z39C,3,0x01D0,20,0,42,42,0,0,1,0,1,0,0x451B,0x01C2,0x0014,0x01D0,0xF3C5,0x039C,0x0000,0x0000
3_01D0_FFFF_063_z108,3,0x01D0,20,0,63,63,0,0,1,0,1,0,0xA768,0x0186,0x0014,0x01D0,0xF3DF,0x0108,0x0000,0x0000
3_01D0_FFFF_043_z35A,3,0x01D0,20,0,43,43,0,0,1,0,1,0,0xB58A,0x01A9,0x0014,0x01D0,0xF3DE,0x035A,0x0000,0x0000
3_B31B_FFFF_103_z000,3,0xB31B,18,0,103,103,0,0,1,0,1,0,0x8D26,0x01A1,0x0012,0xB31B,0xF3A0,0x0000,0x0000,0x0000
3_BA61_FFFF_059_z000,3,0xBA61,10,0,59,59,0,0,1,0,1,0,0x8B50,0x0197,0x000A,0xBA61,0xF3A0,0x0000,0x0000,0x0000
3_BCAB_FFFF_043_z000,3,0xBCAB,14,0,43,43,0,0,1,0,1,0,0x8D62,0x01A2,0x000E,0xBCAB,0xF3A0,0x0000,0x0000,0x0000
3_D06F_FFFF_042_z000,3,0xD06F,11,0,42,42,0,0,1,0,1,0,0x2A00,0x00AA,0x000B,0xD06F,0xF3A0,0x0000,0x0000,0x0000
3_D238_FFFF_073_z000,3,0xD238,16,0,73,73,0,0,1,0,1,0,0x6F26,0x01AD,0x0010,0xD238,0xF3A0,0x0000,0x0000,0x0000
3_BEF9_FFFF_045_z000,3,0xBEF9,26,0,45,45,0,0,1,0,1,0,0xA77A,0x0196,0x001A,0xBEF9,0xF3A0,0x0000,0x0000,0x0000
3_C387_FFFF_045_z000,3,0xC387,30,0,45,45,0,0,1,0,1,0,0xC295,0x018D,0x001E,0xC387,0xF3A0,0x0000,0x0000,0x0000
