file,frame,f142,f018,disp,f031
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f400.bin,400,0,a0,1,08
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f420.bin,420,0,a0,1,08
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f440.bin,440,0,a0,1,08
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f460.bin,460,0,80,0,08
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f480.bin,480,2,80,0,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f500.bin,500,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f520.bin,520,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f540.bin,540,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f560.bin,560,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f580.bin,580,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f600.bin,600,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f620.bin,620,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f640.bin,640,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f660.bin,660,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f680.bin,680,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f700.bin,700,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f720.bin,720,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f740.bin,740,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f760.bin,760,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f780.bin,780,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f800.bin,800,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f820.bin,820,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f840.bin,840,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f860.bin,860,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f880.bin,880,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f900.bin,900,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f920.bin,920,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f940.bin,940,2,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s2_f960.bin,960,2,a0,1,0c
