file,frame,f142,f018,disp,f031
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f400.bin,400,0,a0,1,08
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f420.bin,420,0,a0,1,08
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f440.bin,440,0,a0,1,08
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f460.bin,460,0,80,0,08
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f480.bin,480,3,80,0,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f500.bin,500,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f520.bin,520,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f540.bin,540,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f560.bin,560,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f580.bin,580,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f600.bin,600,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f620.bin,620,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f640.bin,640,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f660.bin,660,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f680.bin,680,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f700.bin,700,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f720.bin,720,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f740.bin,740,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f760.bin,760,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f780.bin,780,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f800.bin,800,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f820.bin,820,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f840.bin,840,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f860.bin,860,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f880.bin,880,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f900.bin,900,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f920.bin,920,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f940.bin,940,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f960.bin,960,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f980.bin,980,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1000.bin,1000,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1020.bin,1020,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1040.bin,1040,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1060.bin,1060,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1080.bin,1080,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1100.bin,1100,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1120.bin,1120,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1140.bin,1140,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1160.bin,1160,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1180.bin,1180,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1200.bin,1200,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1220.bin,1220,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1240.bin,1240,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1260.bin,1260,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1280.bin,1280,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1300.bin,1300,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1320.bin,1320,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1340.bin,1340,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1360.bin,1360,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1380.bin,1380,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1400.bin,1400,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1420.bin,1420,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1440.bin,1440,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1460.bin,1460,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1480.bin,1480,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1500.bin,1500,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1520.bin,1520,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1540.bin,1540,3,a0,1,0c
/private/tmp/claude-501/-Users-mikeholzinger-src-sega16-2-32x/5c829982-26fd-4dbd-8a0f-0215884347db/scratchpad/w4/s3_f1560.bin,1560,3,a0,1,0c
